Buoso Donati	i:30:44
Bëatrice	pu:27:36	pu:32:36	pu:33:4	pu:33:124	pa:9:16	pa:10:37	pa:10:52	pa:10:60	pa:11:11	pa:14:79	pa:18:17	pa:21:63	pa:22:125	pa:23:19	pa:23:34	pa:25:28	pa:27:102	pa:29:8	pa:30:14	pa:30:128	pa:32:9
Caccia d'Ascian	i:29:131
Cacciaguida	pa:15:135
Caccianemico	i:18:50
Caco	i:25:25
Cacume	pu:4:26
Cadmo	i:25:97
Cagnan	pa:9:49
Cagnazzo	i:21:119	i:22:106
Cain	pa:2:51
Caina	i:5:107	i:32:58
Caino	i:20:126
Calaroga	pa:12:52
Calboli	pu:14:89
Calcabrina	i:21:118	i:22:133
Calcanta	i:20:110
Calfucci	pa:16:106
Calisto	pa:27:44
Calïopè	pu:1:9
Camiscion de' Pazzi	i:32:68
Cammilla	i:1:107	i:4:124
Campagnatico	pu:11:66
Campaldino	pu:5:92
Campi	pa:16:50
Campo Picen	i:24:148
Campo di Siena	pu:11:134
Canavese	pu:7:136
Cancro	pa:25:101
Caorsa	i:11:50
Caorsini	pa:27:58
Capaneo	i:14:63
Capocchio	i:29:136	i:30:28
Caponsacco	pa:16:121
Cappelletti	pu:6:106
Capraia	i:33:82
Capricorno	pu:2:57
Caprona	i:21:95
Carentana	i:15:9
Cariddi	i:7:22
Carisenda	i:31:136
Carlin	i:32:69
Carlo	i:19:99	pu:5:69	pu:11:137	pu:20:67	pu:20:71	pa:6:106	pa:8:72	pa:9:1	pa:20:63
Carlo Magno	i:31:17	pa:6:96	pa:18:43
Carnaro	i:9:113
Caron	i:3:94	i:3:109	i:3:128
Carrarese	i:20:48
Carro	i:11:114	pu:1:30
Casal	pa:12:124
Casalodi	i:20:95
Casella	pu:2:91
Casentin	i:30:65
Casentino	pu:5:94
Cassino	pa:22:37
Cassio	i:34:67	pa:6:74
Castore	pu:4:61
Castrocaro	pu:14:116
Catalan	i:23:114
Catalano	i:23:104
Catalogna	pa:8:77
Catellini	pa:16:88
Caton	i:14:15
Catona	pa:8:62
Catria	pa:21:109
Cattolica	i:28:80
Cecilio	pu:22:98
Cecina	i:13:9
Cefàs	pa:21:127
Ceperan	i:28:16
Cerbero	i:6:13	i:6:22	i:6:32	i:9:98
Cerchi	pa:16:65
Certaldo	pa:16:50
Cervia	i:27:42
Cesar	pu:26:77
Cesare	i:4:123	i:13:65	i:28:98	pu:6:92	pu:6:114	pu:18:101	pa:6:10	pa:6:57	pa:6:86	pa:16:59
Cherubi	pa:28:99
Chiana	pa:13:23
Chiassi	pu:28:20
Chiaveri	pu:19:100
Chiesa	pa:6:22	pa:22:82
Chirón	i:12:65	i:12:71	i:12:77	i:12:97	pu:9:37
Chiusi	pa:16:75
Ciacco	i:6:52	i:6:58
Cianfa	i:25:43
Cianghella	pa:15:128
Cicilia	i:12:108	pu:3:116
Cieldauro	pa:10:128
Cimabue	pu:11:94
Cincinnato	pa:15:129
Ciotto	pa:19:127
Cipri	i:28:82
Circe	i:26:91	pu:14:42
Ciro	pu:12:56
Cirra	pa:1:36
Cirïatto	i:21:122	i:22:55
Citerea	pu:27:95
Clemente	pu:3:125
Clemenza	pa:9:1
Cleopatra	pa:6:76
Cleopatràs	i:5:63
Cleto	pa:27:41
Climenè	pa:17:1
Cloto	pu:21:27
Clugnì	i:23:63
Clïò	pu:22:58
Cocito	i:14:119	i:31:123	i:33:156	i:34:52
Colchi	i:18:87
Colco	pa:2:16
Colle	pu:13:115
Cologna	pa:10:99
Conio	pu:14:116
Conti	pa:16:64
Corneto	i:13:9
Corniglia	i:4:128	pa:15:129
Coro	i:11:114
Corsi	pu:18:81
Cosenza	pu:3:124
Costantin	i:19:115	i:27:94	pa:6:1
Costanza	pu:3:113	pu:3:143	pu:7:129	pa:3:118	pa:4:98
Crasso	pu:20:116
Creta	i:14:95
Creti	i:12:12
Creusa	pa:9:98
Crisostomo	pa:12:137
Cristian	pa:19:109
Cristiani	pa:5:73	pa:20:104
Cristo	pu:20:87	pu:21:8	pu:23:74	pu:26:129	pu:32:102	pa:6:14	pa:9:120	pa:11:72	pa:11:102	pa:11:107	pa:12:37	pa:12:71	pa:12:73	pa:12:75	pa:14:104	pa:14:106	pa:14:108	pa:17:51	pa:19:72	pa:19:104	pa:19:106	pa:19:108	pa:20:47	pa:23:20	pa:23:72	pa:25:15	pa:26:53	pa:27:40	pa:29:98	pa:29:109	pa:31:3	pa:32:20	pa:32:24	pa:32:27	pa:32:83	pa:32:85	pa:32:87	pa:32:125
Croazia	pa:31:103
Cunizza	pa:9:32
Cupido	pa:8:7
Curradino	pu:20:68
Currado	pu:8:65	pa:15:139
Currado Malaspina	pu:8:118
Currado da Palazzo	pu:16:124
Curïo	i:28:102
Dammiata	i:14:104
Danoia	i:32:26
Dante	pu:30:55
Danubio	pa:8:65
Danïel	pa:29:134
Danïello	pu:22:146	pa:4:13
Davìd	i:4:58	i:28:138
Deci	pa:6:47
Decretali	pa:9:134
Dedalo	i:29:116
Dei	pa:12:93
Deianira	i:12:68
Delectasti	pu:28:80
Delia	pu:29:78
Delo	pu:20:130
Democrito	i:4:136
Demofoonte	pa:9:101
Deo	pu:16:108	pu:20:136
Deus	pu:33:1	pa:7:1
Deï	pu:10:44	pa:15:29
Deïdamia	pu:22:114
Deïdamìa	i:26:62
Deïfile	pu:22:110
Diana	pu:13:153	pu:25:131
Dido	i:5:85	pa:8:9
